record_id,deal_key,event_date,known_at_date,event_type,source_url,reconciliation_status,register_deal_id,label_candidate_after_review,reconciliation_note
MNA-20260708-GETTY-SSTK,Getty Images / Shutterstock,2026-07-08,2026-07-08,merger_abandoned_cma_reference_cancelled,https://www.gov.uk/cma-cases/getty-images-slash-shutterstock-merger-inquiry,confirmed_sec_metadata,2026Q3-050,Y1_CANDIDATE,"Termination confirmed: Getty notice 2026-07-07; Shutterstock 8-K item 1.02 accepted 2026-07-09T10:03Z. Resolution date is 07-07 (party), not 07-08 (CMA page)."
MNA-20260708-EON-OVO-ITC,E.ON / OVO,2026-07-08,2026-07-08,cma_invitation_to_comment,https://www.gov.uk/cma-cases/eon-slash-ovo-merger-inquiry,corroborated_press,2026Q3-060,NONE,Deal signed 2026-05-11 (E.ON release).
MNA-20260714-ABF-HOVIS,ABF / Hovis,2026-07-14,2026-07-14,cma_case_closed_phase2_clearance,https://www.gov.uk/cma-cases/abf-slash-hovis-merger-inquiry,unverified_source_unreachable,,NONE,Regulator-only event; completion not checked.
MNA-20260715-EBAY-DEPOP-CLEAR,eBay / Depop,2026-07-15,2026-07-15,cma_phase1_clearance,https://www.gov.uk/cma-cases/ebay-slash-depop-merger-inquiry,corroborated_press,2026Q3-051,NONE,Clearance is not a label.
MNA-20260715-DANONE-HUEL-LAUNCH,Danone / Huel,2026-07-15,2026-07-15,cma_phase1_inquiry_launched,https://www.gov.uk/cma-cases/danone-slash-huel-merger-inquiry,unverified_source_unreachable,,NONE,Regulator-only event.
MNA-20260721-MCCORMICK-UNILEVER-ITC,McCormick / Unilever foods business,2026-07-21,2026-07-21,cma_invitation_to_comment,https://www.gov.uk/cma-cases/mccormick-slash-unilever-merger-inquiry,corroborated_press,2026Q3-058,NONE,"Deal announced 2026-03-31, ~$44.8B EV."
MNA-20260723-SKY-ITV,Sky / ITV,2026-07-23,2026-07-23,cma_invitation_to_comment,https://www.gov.uk/cma-cases/sky-slash-itv-merger-inquiry,corroborated_press,2026Q3-061,NONE,Up to GBP1.6B carve-out.
MNA-20260730-EBAY-DEPOP-CLOSE,eBay / Depop,2026-07-30,2026-07-30,acquisition_completed,https://investors.ebayinc.com/investor-news/press-release-details/2026/eBay-Completes-Acquisition-of-Depop/default.aspx,corroborated_press,2026Q3-051,Y0_CANDIDATE_PRIVATE_TARGET,Completion corroborated (~$1.4B incl. adjustments). Private target: no spread features for break_logit_v1.
MNA-20260731-IONQ-SKYWATER,IonQ / SkyWater,2026-07-31,2026-07-31,ftc_early_termination_review,https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-chairman-andrew-n-ferguson-matter-ionq-inc-skywater-technology-inc,corrected,2026Q3-008,NONE,"Staging state 'pending' is stale: deal CLOSED same day 2026-07-31 (SKYT 8-K 2.01 + Form 25). The Y=0 comes from the close, not the FTC event."
MNA-20260803-WILLIAMS-MOMENTUM,Williams / Momentum Midstream,2026-08-03,2026-08-03,acquisition_announced,https://www.reuters.com/legal/transactional/williams-buy-momentum-midstream-55-billion-2026-08-03/,corrected,2026Q3-052,Y0_CANDIDATE_PRIVATE_TARGET,"Staging says pending; deal CLOSED 2026-09-03 (Williams release, WMB 8-K 8.01)."
MNA-20260806-APOLLO-EASYJET,Apollo / easyJet,2026-08-06,2026-08-06,recommended_takeover_announced,https://www.reuters.com/business/castlelake-walks-away-easyjet-pursuit-2026-08-06/,corroborated_press,2026Q3-014,NONE,Matches register.
MNA-20260806-PARAMOUNT-WBD-CLEAR,Paramount Skydance / Warner Bros. Discovery,2026-08-06,2026-08-06,cma_phase1_clearance,https://www.gov.uk/cma-cases/paramount-slash-warner-bros-discovery-merger-inquiry,unverified_source_unreachable,2026Q3-047,NONE,Clearance is not a label.
MNA-20260808-VERISK-ACCULYNX,Verisk / AccuLynx,2026-08-08,2026-08-08,court_orders_buyer_to_attempt_completion,https://www.reuters.com/legal/transactional/delaware-judge-orders-verisk-proceed-with-235-billion-acculynx-deal-2026-08-08/,corrected,2026Q3-053,NONE,Ruling dated 2026-08-07 (08-08 is the report date); Verisk appealed 2026-08-18. Unresolved.
MNA-20260813-SERAS-ENVA-CLEAR,Seras Energy / Enva waste wood business,2026-08-13,2026-08-13,cma_phase1_clearance,https://www.gov.uk/cma-cases/seras-slash-enva-dedicated-waste-wood-business-merger-inquiry,unverified_source_unreachable,,NONE,Regulator-only event.
MNA-20260814-HENKEL-LIQUIDNAILS,Henkel / Liquid Nails,2026-08-14,2026-08-17,court_permanent_injunction_blocks_merger,https://www.ftc.gov/legal-library/browse/cases-proceedings/henkel-paint,corroborated_press,2026Q3-019,NONE_UNTIL_TERMINATION_VERIFIED,Injunction 08-14 (valid) vs FTC summary 08-17 (known) kept distinct. Not Y=1 until abandonment verified.
MNA-20260817-PARAMOUNT-WBD-CMA-CLOSE,Paramount Skydance / Warner Bros. Discovery,2026-08-17,2026-08-17,cma_case_closed,https://www.gov.uk/cma-cases/paramount-slash-warner-bros-discovery-merger-inquiry,unverified_source_unreachable,2026Q3-047,NONE,Regulatory case closure is not a label.
MNA-20260820-DANONE-HUEL-CLEAR,Danone / Huel,2026-08-20,2026-08-20,cma_phase1_clearance,https://www.gov.uk/cma-cases/danone-slash-huel-merger-inquiry,unverified_source_unreachable,,NONE,Regulator-only event.
MNA-20260825-ASCENSION-AMSURG,Ascension Health / AmSurg,2026-08-25,2026-08-25,ftc_final_consent_order_with_divestitures,https://www.ftc.gov/news-events/news/press-releases/2026/08/ftc-approves-final-consent-order-ascension-health-amsurg-deal,corrected,2026Q3-054,Y0_CANDIDATE_PRIVATE_TARGET,Beyond staging: Ascension CLOSED within days of the 08-25 consent order (exact date n/d).
MNA-20260826-BRINKS-NCR,Brink's / NCR Atleos,2026-08-26,2026-08-26,cma_phase1_inquiry_launched,https://www.gov.uk/cma-cases/the-brinks-company-slash-ncr-atleos-corporation-merger-inquiry,corroborated_press,2026Q3-057,NONE,Deal announced 2026-02-26 ($30 + 0.1574 BCO).
MNA-20260901-ADENA-FMC,Adena Health / Fairfield Medical Center,2026-09-01,2026-09-02,acquisition_announced_in_ftc_statement,https://www.ftc.gov/news-events/news/press-releases/2026/09/statement-regarding-fairfield-medical-centers-sale-adena-health,corroborated_press,2026Q3-055,Y0_CANDIDATE_NONPROFIT,Adena release says it finalized the acquisition 2026-09-01. Earlier OhioHealth/FMC deal abandoned (separate record; date n/d).
MNA-20260902-EON-OVO-LAUNCH,E.ON / OVO,2026-09-02,2026-09-02,cma_phase1_inquiry_launched,https://www.gov.uk/cma-cases/eon-slash-ovo-merger-inquiry,corroborated_press,2026Q3-060,NONE,
MNA-20260903-SERAS-ENVA-CLOSE,Seras Energy / Enva waste wood business,2026-09-03,2026-09-03,cma_case_closed_full_decision_published,https://www.gov.uk/cma-cases/seras-slash-enva-dedicated-waste-wood-business-merger-inquiry,unverified_source_unreachable,,NONE,Regulator-only event.
MNA-20260915-OCS-MITIE,OCS / Mitie,2026-09-15,2026-09-15,cma_invitation_to_comment,https://www.gov.uk/cma-cases/ocs-slash-mitie-merger-inquiry,unverified_source_unreachable,,NONE,Regulator-only event; deal terms not captured.
MNA-20260916-MCCORMICK-UNILEVER-LAUNCH,McCormick / Unilever foods business,2026-09-16,2026-09-16,cma_phase1_inquiry_launched,https://www.gov.uk/cma-cases/mccormick-slash-unilever-merger-inquiry,corroborated_press,2026Q3-058,NONE,
MNA-20260916-BERETTA-RUGER,Beretta / Ruger stock purchase,2026-09-16,2026-09-16,ftc_proposed_consent_order,https://www.ftc.gov/legal-library/browse/cases-proceedings/berettaruger,confirmed_sec_metadata,2026Q3-064,NONE,Ruger 8-K items 1.01/1.02/3.03 accepted 2026-09-16T20:45Z consistent with the consent; content unread.
MNA-20260917-ABP-DOVECOTE,ABP / Dovecote Park minority acquisition,2026-09-17,2026-09-21,cma_initial_enforcement_order,https://www.gov.uk/cma-cases/abp-slash-dovecote-park-merger-inquiry,unverified_source_unreachable,,NONE,IEO 09-17 (valid) vs page 09-21 (known) kept distinct.
