record_id,deal_key,event_date,known_at_date,acquirer,target,event_type,deal_state_as_of_event,regulator,deal_value,offer_price,consideration,label_candidate,source_tier,source_name,source_url,canonical_ready,confidence,notes
MNA-20260708-GETTY-SSTK,Getty Images / Shutterstock,2026-07-08,2026-07-08,"Getty Images Holdings, Inc.","Shutterstock, Inc.",merger_abandoned_cma_reference_cancelled,abandoned,UK CMA,,,,POTENTIAL_BREAK_1_REQUIRES_DEFINITIVE_AGREEMENT_TERMINATION_CONFIRMATION,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/getty-images-slash-shutterstock-merger-inquiry,no,high,CMA states merger abandoned. Do not assign break=1 until signed-agreement termination is independently confirmed from a primary party source.
MNA-20260708-EON-OVO-ITC,E.ON / OVO,2026-07-08,2026-07-08,E.ON SE / E.ON UK Limited,OVO Energy Ltd,cma_invitation_to_comment,pending,UK CMA,,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/eon-slash-ovo-merger-inquiry,event_only_after_deal_linkage,high,Public regulatory milestone. Formal Phase 1 launch followed on 2026-09-02.
MNA-20260714-ABF-HOVIS,ABF / Hovis,2026-07-14,2026-07-14,Associated British Foods plc / ABF Grain Products Limited,Hovis Group Limited,cma_case_closed_phase2_clearance,regulatory_cleared,UK CMA,,,,NONE_CLEARANCE_NOT_SAME_AS_ECONOMIC_CLOSE,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/abf-slash-hovis-merger-inquiry,event_only_after_deal_linkage,high,CMA case closed with Phase 2 clearance. Do not convert to y=0 unless transaction completion is separately verified.
MNA-20260715-EBAY-DEPOP-CLEAR,eBay / Depop,2026-07-15,2026-07-15,eBay Inc.,Depop Limited,cma_phase1_clearance,regulatory_cleared,UK CMA,,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/ebay-slash-depop-merger-inquiry,event_only_after_deal_linkage,high,CMA cleared anticipated acquisition. Company later announced completion on 2026-07-30.
MNA-20260715-DANONE-HUEL-LAUNCH,Danone / Huel,2026-07-15,2026-07-15,Danone Holdings (UK),Huel Limited,cma_phase1_inquiry_launched,pending,UK CMA,,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/danone-slash-huel-merger-inquiry,event_only_after_deal_linkage,high,Phase 1 launch; clearance followed on 2026-08-20.
MNA-20260721-MCCORMICK-UNILEVER-ITC,McCormick / Unilever foods business,2026-07-21,2026-07-21,"McCormick & Company, Inc.",Majority of Unilever plc foods business,cma_invitation_to_comment,pending,UK CMA,,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/mccormick-slash-unilever-merger-inquiry,event_only_after_deal_linkage,high,Formal Phase 1 launch followed on 2026-09-16.
MNA-20260723-SKY-ITV,Sky / ITV,2026-07-23,2026-07-23,Sky UK Limited,ITV M&E Holdings Limited,cma_invitation_to_comment,pending,UK CMA,,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/sky-slash-itv-merger-inquiry,event_only_after_deal_linkage,high,Public pre-notification/invitation-to-comment milestone.
MNA-20260730-EBAY-DEPOP-CLOSE,eBay / Depop,2026-07-30,2026-07-30,eBay Inc.,Depop,acquisition_completed,closed,,,,,STRONG_CLOSE_0_CANDIDATE,primary_company,eBay Inc. Investor Relations,https://investors.ebayinc.com/investor-news/press-release-details/2026/eBay-Completes-Acquisition-of-Depop/default.aspx,needs_full_terms_and_announcement_record,high,Primary company source explicitly says acquisition completed. Strong resolution label candidate once original transaction terms are sourced.
MNA-20260731-IONQ-SKYWATER,IonQ / SkyWater,2026-07-31,2026-07-31,IonQ Inc.,"SkyWater Technology, Inc.",ftc_early_termination_review,pending_regulatory_risk_reduced,US FTC,,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,Federal Trade Commission,https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-chairman-andrew-n-ferguson-matter-ionq-inc-skywater-technology-inc,event_only_after_deal_linkage,high,"FTC granted early termination of review. Regulatory milestone, not close."
MNA-20260803-WILLIAMS-MOMENTUM,Williams / Momentum Midstream,2026-08-03,2026-08-03,The Williams Companies,Momentum Midstream,acquisition_announced,pending,,up to USD 5.5bn,,cash/debt plus Williams equity,NONE_PENDING,secondary_reputable,Reuters,https://www.reuters.com/legal/transactional/williams-buy-momentum-midstream-55-billion-2026-08-03/,no_primary_source_needed,medium_high,Deal lead. Upgrade to Williams primary announcement before canonical ingestion.
MNA-20260806-APOLLO-EASYJET,Apollo / easyJet,2026-08-06,2026-08-06,Apollo Global,easyJet,recommended_takeover_announced,pending,,GBP 5.70bn / approx USD 7.7bn,,cash,NONE_PENDING,secondary_reputable,Reuters,https://www.reuters.com/business/castlelake-walks-away-easyjet-pursuit-2026-08-06/,no_primary_source_needed,medium_high,Recommended cash takeover; stated EU airline ownership execution issue. Upgrade to primary scheme announcement.
MNA-20260806-PARAMOUNT-WBD-CLEAR,Paramount Skydance / Warner Bros. Discovery,2026-08-06,2026-08-06,Paramount Skydance Corporation,"Warner Bros. Discovery, Inc.",cma_phase1_clearance,regulatory_cleared_uk,UK CMA,,,,NONE_CLEARANCE_NOT_CLOSE,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/paramount-slash-warner-bros-discovery-merger-inquiry,event_only_after_deal_linkage,high,CMA cleared deal on 2026-08-06; case closed 2026-08-17.
MNA-20260808-VERISK-ACCULYNX,Verisk / AccuLynx,2026-08-08,2026-08-08,Verisk,AccuLynx,court_orders_buyer_to_attempt_completion,litigation_high_risk,Delaware Court of Chancery / judicial,USD 2.35bn,,,NONE_LEGAL_EVENT_ONLY,secondary_reputable,Reuters,https://www.reuters.com/legal/transactional/delaware-judge-orders-verisk-proceed-with-235-billion-acculynx-deal-2026-08-08/,no_primary_court_or_party_source_needed,medium_high,Useful break-risk/legal-enforcement event. Do not infer final outcome from court order.
MNA-20260813-SERAS-ENVA-CLEAR,Seras Energy / Enva waste wood business,2026-08-13,2026-08-13,Seras Energy Ltd,G.I. Hadfield & Son Limited / Enva dedicated waste wood business,cma_phase1_clearance,regulatory_cleared,UK CMA,,,,NONE_CLEARANCE_NOT_CLOSE,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/seras-slash-enva-dedicated-waste-wood-business-merger-inquiry,event_only_after_deal_linkage,high,Phase 1 clearance; full decision published/case closed 2026-09-03.
MNA-20260814-HENKEL-LIQUIDNAILS,Henkel / Liquid Nails,2026-08-14,2026-08-17,Henkel AG & Co. KGaA,Liquid Nails / A-Paint business from American Industrial Partners,court_permanent_injunction_blocks_merger,blocked,US FTC / SDNY,USD 725mm,,,POTENTIAL_BREAK_1_REQUIRES_PARTY_TERMINATION_CONFIRMATION,primary_regulator,Federal Trade Commission,https://www.ftc.gov/legal-library/browse/cases-proceedings/henkel-paint,event_only_until_termination_confirmed,high,Court granted permanent injunction Aug. 14; FTC public summary dated Aug. 17. Keep valid and known dates distinct.
MNA-20260817-PARAMOUNT-WBD-CMA-CLOSE,Paramount Skydance / Warner Bros. Discovery,2026-08-17,2026-08-17,Paramount Skydance Corporation,"Warner Bros. Discovery, Inc.",cma_case_closed,regulatory_cleared_uk,UK CMA,,,,NONE_CLEARANCE_NOT_CLOSE,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/paramount-slash-warner-bros-discovery-merger-inquiry,event_only_after_deal_linkage,high,UK regulatory case closure after Phase 1 clearance.
MNA-20260820-DANONE-HUEL-CLEAR,Danone / Huel,2026-08-20,2026-08-20,Danone Holdings (UK),Huel Limited,cma_phase1_clearance,regulatory_cleared,UK CMA,,,,NONE_CLEARANCE_NOT_CLOSE,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/danone-slash-huel-merger-inquiry,event_only_after_deal_linkage,high,CMA clearance; full decision published/case closed 2026-08-25.
MNA-20260825-ASCENSION-AMSURG,Ascension Health / AmSurg,2026-08-25,2026-08-25,Ascension Health Alliance,AmSurg LLC,ftc_final_consent_order_with_divestitures,regulatory_cleared_with_remedies,US FTC,USD 3.9bn,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,Federal Trade Commission,https://www.ftc.gov/news-events/news/press-releases/2026/08/ftc-approves-final-consent-order-ascension-health-amsurg-deal,event_only_after_deal_linkage,high,Final consent requires seven ASC divestitures. Not economic close by itself.
MNA-20260826-BRINKS-NCR,Brink's / NCR Atleos,2026-08-26,2026-08-26,The Brink's Company,NCR Atleos Corporation,cma_phase1_inquiry_launched,pending,UK CMA,,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/the-brinks-company-slash-ncr-atleos-corporation-merger-inquiry,event_only_after_deal_linkage,high,Phase 1 decision deadline listed as 2026-10-22.
MNA-20260901-ADENA-FMC,Adena Health / Fairfield Medical Center,2026-09-01,2026-09-02,Adena Health,Fairfield Medical Center,acquisition_announced_in_ftc_statement,announced_or_completed_wording_requires_party_verification,US FTC,,,,NONE_NEEDS_PRIMARY_PARTY_OUTCOME_CONFIRMATION,primary_regulator,Federal Trade Commission,https://www.ftc.gov/news-events/news/press-releases/2026/09/statement-regarding-fairfield-medical-centers-sale-adena-health,no_primary_party_source_needed,high_for_regulatory_context_medium_for_close_status,FTC says Adena announced its acquisition Sept. 1 after earlier OhioHealth/FMC proposal was abandoned. Treat OhioHealth and Adena as separate deal records.
MNA-20260902-EON-OVO-LAUNCH,E.ON / OVO,2026-09-02,2026-09-02,E.ON SE / E.ON UK Limited,OVO Energy Ltd,cma_phase1_inquiry_launched,pending,UK CMA,,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/eon-slash-ovo-merger-inquiry,event_only_after_deal_linkage,high,Formal launch after July invitation; Phase 1 deadline 2026-10-28.
MNA-20260903-SERAS-ENVA-CLOSE,Seras Energy / Enva waste wood business,2026-09-03,2026-09-03,Seras Energy Ltd,G.I. Hadfield & Son Limited / Enva dedicated waste wood business,cma_case_closed_full_decision_published,regulatory_cleared,UK CMA,,,,NONE_CLEARANCE_NOT_CLOSE,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/seras-slash-enva-dedicated-waste-wood-business-merger-inquiry,event_only_after_deal_linkage,high,Case close/publication event after Aug. 13 clearance.
MNA-20260915-OCS-MITIE,OCS / Mitie,2026-09-15,2026-09-15,OCS Group International Limited,Mitie Group plc,cma_invitation_to_comment,pending,UK CMA,,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/ocs-slash-mitie-merger-inquiry,event_only_after_deal_linkage,high,Invitation to comment open through 2026-09-29 as of snapshot date.
MNA-20260916-MCCORMICK-UNILEVER-LAUNCH,McCormick / Unilever foods business,2026-09-16,2026-09-16,"McCormick & Company, Inc.",Majority of Unilever plc foods business,cma_phase1_inquiry_launched,pending,UK CMA,,,,NONE_REGULATORY_EVENT_ONLY,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/mccormick-slash-unilever-merger-inquiry,event_only_after_deal_linkage,high,Phase 1 deadline 2026-11-11.
MNA-20260916-BERETTA-RUGER,Beretta / Ruger stock purchase,2026-09-16,2026-09-16,Beretta Holding S.A.,"Sturm, Ruger & Co. Inc. equity stake",ftc_proposed_consent_order,pending_with_behavioral_remedy,US FTC,,,stock purchase,NONE_REGULATORY_EVENT_ONLY,primary_regulator,Federal Trade Commission,https://www.ftc.gov/legal-library/browse/cases-proceedings/berettaruger,event_only_after_deal_linkage,high,Governance/board entanglement remedy; not a conventional whole-company merger label.
MNA-20260917-ABP-DOVECOTE,ABP / Dovecote Park minority acquisition,2026-09-17,2026-09-21,ABP Food Group Unlimited,Indirect minority shareholding in Extra Detail Limited / Dovecote Park,cma_initial_enforcement_order,completed_under_review,UK CMA,,,minority stake,NONE_REGULATORY_EVENT_ONLY,primary_regulator,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/abp-slash-dovecote-park-merger-inquiry,event_only_after_deal_linkage,high,IEO served Sept. 17; case page published Sept. 21. Good event-time vs known-time example.
MNA-20260921-PRIORITY-TAKEPRIVATE,CEO/Searchlight-backed investor group / Priority Technology Holdings,2026-09-21,2026-09-21,Investor group led by Thomas Priore; Searchlight Capital financing support,"Priority Technology Holdings, Inc.",definitive_take_private_announced,pending,,approx USD 1.6bn enterprise value,USD 8.05/share cash,cash,NONE_PENDING,primary_company,Priority Technology Holdings Investor Relations,https://ir.prioritycommerce.com/news-releases/news-release-details/priority-technology-holdings-inc-announces-definitive-agreement,strong_candidate_needs_full_historical_announcement_terms_record,high,No financing condition; requires regulatory approvals and approval by majority of unaffiliated common stock; expected close H1 2027.
