event_id,canonical_deal_id,event_type,valid_at,valid_at_precision,known_at,known_at_precision,known_at_basis,source_name,source_identifier,source_url,verification_level,filing_content_verified,corroborating_sources,staging_refs,known_at_review_required,note
EVT-8B6C15D19725AA1B,DEAL-ACCULYNX-VRSK-2025,announcement,2025,year,2025,year,event_date_assumed,insurancejournal.com,2026Q3-053,https://www.insurancejournal.com/news/east/2026/08/11/880962.htm,press_multi,no,,2026Q3-053,yes,
EVT-E737969D737A1A93,DEAL-ACCULYNX-VRSK-2025,court_order_specific_performance,2026-08-07,day,2026-08-07,day,event_date_assumed,insurancejournal.com,2026Q3-053,https://www.insurancejournal.com/news/east/2026/08/11/880962.htm,press_multi,no,,2026Q3-053,yes,
EVT-57ACA09940DEC5E9,DEAL-ACCULYNX-VRSK-2025,litigation_appeal,2026-08-18,day,2026-08-18,day,event_date_assumed,search summary,https://www.hsfkramer.com/insights/2026-08/verisk-analytics-v-acculynx-sorry-you-actually-do-have-to-comply-with-that-second-request,https://www.hsfkramer.com/insights/2026-08/verisk-analytics-v-acculynx-sorry-you-actually-do-have-to-comply-with-that-second-request,press_single,no,,2026Q3-053,yes,Verisk appealed the specific-performance order
EVT-34528AFBD2DF15E1,DEAL-AMBROS-HOWL-2026,announcement,2026-08-20,day,2026-08-20T20:06:14Z,second,sec_acceptance,SEC EDGAR (metadata),0001193125-26-359185,https://www.sec.gov/Archives/edgar/data/1785530/000119312526359185/,sec_metadata_confirmed,no,,2026Q3-021,no,valid_at capped from 2026-08-21 to disclosure date 2026-08-20
EVT-7137FF04900E1BA7,DEAL-AMSURG-ASCENSION-2026,closing,2026-08,month,2026-08,month,event_date_assumed,ftc.gov,2026Q3-054,https://www.ftc.gov/news-events/news/press-releases/2026/08/ftc-approves-final-consent-order-ascension-health-amsurg-deal,press_multi,no,,2026Q3-054,yes,
EVT-C323A1EEB86D4268,DEAL-AMSURG-ASCENSION-2026,regulatory_consent_order,2026-08-25,day,2026-08-25,day,source_stated,Federal Trade Commission,MNA-20260825-ASCENSION-AMSURG,https://www.ftc.gov/news-events/news/press-releases/2026/08/ftc-approves-final-consent-order-ascension-health-amsurg-deal,press_multi,no,,MNA-20260825-ASCENSION-AMSURG,no,
EVT-57E607F9B6516171,DEAL-ARX-THOMABRAVO-2026,announcement,2026-08-13,day,2026-08-13T11:59:29Z,second,sec_acceptance,SEC EDGAR (metadata),0001193125-26-349973,https://www.sec.gov/Archives/edgar/data/1997350/000119312526349973/,sec_metadata_confirmed,no,,2026Q3-018,no,
EVT-4FBB0FBC3E6B1A88,DEAL-ATOME-GRAB-2026,announcement,2026-09-15,day,2026-09-15,day,event_date_assumed,sec.gov,2026Q3-035,https://www.sec.gov/Archives/edgar/data/0001855612/000185561226000133/a6-kxatometransactionannou.htm,press_single,no,,2026Q3-035,yes,
EVT-93E0475FCD4E8173,DEAL-BIRCH-DEC-2026,announcement,2026-09-02,day,2026-09-02,day,event_date_assumed,ogj.com,2026Q3-028,https://www.ogj.com/general-interest/companies/news/55402758/diversified-energy-to-acquire-birch-permian-in-18-billion-deal,press_single,no,,2026Q3-028,yes,
EVT-16C2F3E2E1E3648B,DEAL-BWIN-SEQDFO-2026,announcement,2026-09-14,day,2026-09-14T13:19:14Z,second,sec_acceptance,SEC EDGAR (metadata),0000950103-26-013874,https://www.sec.gov/Archives/edgar/data/1781755/000095010326013874/,sec_metadata_confirmed,no,,2026Q3-034,no,
