canonical_deal_id,as_of,outcome_candidate,resolution_event_id,resolution_valid_at,basis,requires_review,model_eligible
DEAL-ACCULYNX-VRSK-2025,2026-09-24T23:59:59,censored,,,pending (seen: court_order_specific_performance),yes,no
DEAL-AMBROS-HOWL-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-AMSURG-ASCENSION-2026,2026-09-24T23:59:59,Y0_closed,EVT-7137FF04900E1BA7,2026-08,closing (press_multi),yes,no
DEAL-ARX-THOMABRAVO-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-ATOME-GRAB-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-BIRCH-DEC-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-BWIN-SEQDFO-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-BWMN-BCP-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-BZH-DFH-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-CARBONIUM-TOMZ-2026,2026-09-24T23:59:59,Y1_broken,EVT-15E61D0F65799083,2026-09-20,termination (press_multi),yes,no
DEAL-CONVERGENT-VCYT-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-CRNX-VRTX-2026,2026-09-24T23:59:59,Y0_closed,EVT-EF4B6AF335CC2DCC,2026-09-01,closing (sec_metadata_confirmed),yes,no
DEAL-CSR-IRT-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-DEPOP-EBAY-2026,2026-09-24T23:59:59,Y0_closed,EVT-0B7C6F7C501F4AED,2026-07-30,closing (press_multi),yes,no
DEAL-DHER-UBER-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-DIANOMI-TBLA-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-EA-PIFSLAFF-2025,2026-09-24T23:59:59,Y0_closed,EVT-A97C07E24BB64BD8,2026-08-04,closing (sec_metadata_confirmed),yes,no
DEAL-EFSI-JMSB-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
DEAL-ESI-SOLS-2026,2026-09-24T23:59:59,Y1_broken,EVT-463D8B2CBA97A878,2026-08-27,termination (sec_metadata_confirmed),yes,no
DEAL-EZJ-APOLLO-2026,2026-09-24T23:59:59,censored,,,pending,yes,no
