source,source_row_id,canonical_deal_id,disposition,note
register,2026Q3-001,DEAL-CRNX-VRTX-2026,mapped,
register,2026Q3-002,DEAL-ESI-SOLS-2026,mapped,
register,2026Q3-003,DEAL-ULTRAMAR-LMT-2026,mapped,
register,2026Q3-004,DEAL-WILDFIRE-MGY-2026,mapped,
register,2026Q3-005,PROP-BF-SAZERAC-2026,mapped,
register,2026Q3-006,DEAL-LXFR-WYNNCHURCH-2026,mapped,
register,2026Q3-007,DEAL-MKTX-ICE-2026,mapped,
register,2026Q3-008,DEAL-SKYT-IONQ-2026,mapped,
register,2026Q3-009,UNVR-SEAHAWKS-KHOSLA-2026,mapped,
register,2026Q3-010,UNVR-ARGAN-WDP-2026,mapped,
register,2026Q3-011,DEAL-LNTH-CURIUM-2026,mapped,
register,2026Q3-012,DEAL-ITGR-KKR-2026,mapped,
register,2026Q3-013,DEAL-SGRO-PLD-2026,mapped,
register,2026Q3-014,DEAL-EZJ-APOLLO-2026,mapped,
register,2026Q3-015,DEAL-BZH-DFH-2026,mapped,
register,2026Q3-016,DEAL-BWMN-BCP-2026,mapped,
register,2026Q3-017,PROP-CWY-EQT-2026,mapped,
register,2026Q3-018,DEAL-ARX-THOMABRAVO-2026,mapped,
register,2026Q3-019,DEAL-LIQUIDNAILS-HENKEL-2025,mapped,
register,2026Q3-020,DEAL-HHS-STRR-2026,mapped,
register,2026Q3-021,DEAL-AMBROS-HOWL-2026,mapped,
register,2026Q3-022,DEAL-FIRSTEAGLE-VCTR-2026,mapped,
register,2026Q3-023,DEAL-DHER-UBER-2026,mapped,
register,2026Q3-024,DEAL-USI-AON-2026,mapped,
register,2026Q3-025,UNVR-OPENROUTER-STRIPE-2026,mapped,
register,2026Q3-026,UNVR-ATG-MARI-2026,mapped,
register,2026Q3-027,DEAL-EA-PIFSLAFF-2025,mapped,
register,2026Q3-028,DEAL-BIRCH-DEC-2026,mapped,
register,2026Q3-029,DEAL-HUGGINGFACE-NVDA-2026,mapped,
register,2026Q3-030,DEAL-LINCOLN-EQBK-2026,mapped,
register,2026Q3-031,DEAL-EFSI-JMSB-2026,mapped,
register,2026Q3-032,DEAL-CSR-IRT-2026,mapped,
register,2026Q3-033,DEAL-CONVERGENT-VCYT-2026,mapped,
register,2026Q3-034,DEAL-BWIN-SEQDFO-2026,mapped,
register,2026Q3-035,DEAL-ATOME-GRAB-2026,mapped,
register,2026Q3-036,DEAL-TALLGRASS-ENB-2026,mapped,
register,2026Q3-037,DEAL-MG-HIG-2026,mapped,
register,2026Q3-038,UNVR-WAKEMED-ATRIUM-2026,mapped,
register,2026Q3-039,DEAL-SEALINK-JOURNEYB-2026,mapped,
register,2026Q3-040,DEAL-DIANOMI-TBLA-2026,mapped,
register,2026Q3-041,DEAL-ITM-TELIX-2026,mapped,
